Date,Open,High,Low,Close,Volume
2014-03-28,559.7,564.9,557.1,558.5,41116
2014-03-31,565.3,565.5,555.4,555.5,10802
2014-04-01,557.2,566.9,557.2,565.6,7954
2014-04-02,598.3,603.2,560.7,565.5,147100
2014-04-03,568.3,585.7,562.6,568.2,5101498
2014-04-04,573.1,576.2,541.5,541.7,6395168
2014-04-07,539.3,547.0,525.7,536.7,4401621
2014-04-08,541.1,553.5,540.1,553.4,3161061
2014-04-09,558.1,563.8,551.4,562.6,3333870
2014-04-10,563.5,563.5,538.4,539.5,4038801
2014-04-11,531.1,538.5,525.1,529.2,3926923
2014-04-14,536.8,542.6,528.1,531.1,2575071
2014-04-15,535.3,537.0,517.0,535.0,3858016
2014-04-16,541.5,555.5,538.5,555.0,4893287
2014-04-17,547.3,548.0,529.7,534.6,6814050
2014-04-21,534.6,535.2,524.2,527.2,2568246
2014-04-22,527.2,535.8,526.1,533.3,2365899
2014-04-23,532.3,532.4,524.8,525.5,2056697
2014-04-24,528.6,530.2,520.7,523.7,1887132
2014-04-25,521.1,523.3,514.0,514.8,2103022
2014-04-28,515.8,517.2,501.4,515.7,3335562
2014-04-29,515.5,528.0,514.9,526.3,2699881
2014-04-30,526.2,526.5,521.1,525.2,1751700
2014-05-01,525.7,531.5,522.5,529.9,1905650
2014-05-02,532.3,532.5,524.2,526.5,1689668
2014-05-05,523.4,527.5,519.9,526.4,1024212
2014-05-06,523.8,525.4,513.7,513.7,1689005
2014-05-07,514.4,515.3,501.9,508.6,3224907
2014-05-08,507.1,515.8,505.1,509.6,2021666
2014-05-09,509.4,518.5,502.8,517.3,2439462
2014-05-12,522.1,528.7,517.6,528.5,1913632
2014-05-13,529.4,534.6,528.1,531.6,1653434
2014-05-14,531.5,531.5,523.8,525.2,1195135
2014-05-15,524.3,524.4,516.0,518.6,1708436
2014-05-16,520.0,520.4,514.0,519.2,1485756
2014-05-19,518.3,528.3,516.2,527.4,1279866
2014-05-20,528.3,534.8,524.9,528.3,1785000
2014-05-21,531.4,537.7,530.5,537.5,1196665
2014-05-22,539.7,546.1,539.3,543.6,1616262
2014-05-23,545.8,552.1,542.2,551.2,1934930
2014-05-27,554.5,564.5,552.8,564.4,2106064
2014-05-28,563.0,566.3,559.5,560.1,1652241
2014-05-29,561.8,562.5,557.2,558.5,1354365
2014-05-30,559.3,559.8,554.4,558.4,1771645
2014-06-02,559.2,559.4,544.2,552.4,1438929
2014-06-03,549.5,550.8,541.1,543.5,1867033
2014-06-04,540.0,547.1,537.3,543.2,1817059
2014-06-05,544.9,553.4,543.0,552.4,1689512
2014-06-06,556.5,556.5,547.4,554.8,1737349
2014-06-09,555.6,561.4,554.5,560.6,1467695
2014-06-10,559.0,562.1,556.4,559.0,1353149
2014-06-11,556.5,558.3,553.5,557.3,1100393
2014-06-12,555.8,556.5,547.0,549.8,1461105
2014-06-13,550.8,550.8,544.1,550.3,1220518
2014-06-16,547.8,548.1,540.0,542.8,1708705
2014-06-17,542.7,543.8,537.8,541.5,1449848
2014-06-18,543.4,552.0,542.5,551.8,1742113
2014-06-19,552.7,553.5,547.0,553.4,2458071
2014-06-20,555.3,556.0,548.9,554.8,4509308
2014-06-23,553.6,563.5,552.7,563.4,1538872
2014-06-24,563.6,571.1,559.5,563.1,2207834
2014-06-25,563.7,578.4,563.7,577.1,1969840
2014-06-26,579.4,580.9,570.3,574.4,1741980
2014-06-27,575.6,578.3,572.2,575.7,2237300
2014-06-30,577.1,578.0,573.2,573.7,1314508
2014-07-01,576.7,582.8,575.1,581.1,1450280
2014-07-02,581.8,583.8,578.8,580.7,1057832
2014-07-03,581.8,583.4,579.3,583.1,714165
2014-07-07,582.2,584.8,578.0,580.7,1064748
2014-07-08,576.1,577.9,564.6,569.5,1913887
2014-07-09,570.0,575.1,567.8,574.5,1116965
2014-07-10,564.4,575.0,563.5,569.5,1357033
2014-07-11,570.3,579.3,569.9,577.6,1622010
2014-07-14,581.0,583.6,576.5,583.3,1857375
2014-07-15,584.1,584.2,575.0,583.2,1623259
2014-07-16,586.4,586.8,580.6,581.1,1398389
2014-07-17,577.9,579.4,567.0,572.2,3023754
2014-07-18,591.4,595.2,580.4,593.5,4017389
2014-07-21,590.1,592.8,583.6,587.9,2065991
2014-07-22,589.1,598.0,589.0,593.1,1699440
2014-07-23,591.6,596.2,590.9,594.3,1233223
2014-07-24,594.8,597.9,590.2,591.7,1036178
2014-07-25,588.8,590.2,585.4,587.4,935285
2014-07-28,586.5,590.9,583.2,589.0,986863
2014-07-29,587.1,588.1,581.9,584.0,1350344
2014-07-30,584.9,587.9,582.4,585.8,1016716
2014-07-31,579.0,582.0,568.4,570.0,2105280
2014-08-01,568.8,574.4,561.3,564.5,1955525
2014-08-04,567.5,573.8,562.6,571.6,1431087
2014-08-05,568.5,570.4,561.1,563.5,1560959
2014-08-06,560.2,569.1,558.5,564.8,1334531
2014-08-07,566.4,568.3,559.6,561.8,1111945
2014-08-08,562.0,568.7,558.8,567.2,1496589
2014-08-11,568.4,568.9,564.5,566.3,1219306
2014-08-12,563.0,564.3,559.3,561.2,1541980
2014-08-13,565.8,573.4,564.2,573.2,1441870
2014-08-14,574.6,576.3,569.3,573.1,985625
2014-08-15,576.3,577.8,569.0,571.9,1521221
2014-08-18,574.5,582.9,574.4,580.6,1286052
2014-08-19,583.4,585.7,582.4,585.3,981987
2014-08-20,584.3,585.1,581.0,582.9,1037620
2014-08-21,582.2,582.9,579.5,581.8,915360
2014-08-22,582.0,583.6,579.0,581.0,791652
2014-08-25,583.1,583.4,577.4,578.6,1362541
2014-08-26,579.7,580.2,575.0,576.3,1639955
2014-08-27,575.7,576.9,568.5,569.4,1704829
2014-08-28,568.0,571.7,565.5,567.6,1299521
2014-08-29,569.8,570.5,565.5,570.0,1084200
2014-09-02,570.3,576.3,569.6,575.8,1581159
2014-09-03,578.4,581.4,573.4,576.4,1217921
2014-09-04,578.4,584.4,577.6,580.4,1463964
2014-09-05,582.4,584.9,580.4,584.5,1633951
2014-09-08,585.0,590.2,584.7,588.1,1433025
2014-09-09,587.3,587.4,578.4,579.4,1290255
2014-09-10,579.9,581.9,575.4,581.5,977822
2014-09-11,578.8,580.2,574.7,579.8,1221064
2014-09-12,579.4,580.0,572.9,574.0,1602063
2014-09-15,571.4,573.4,566.7,571.5,1600606
2014-09-16,571.2,579.9,571.1,578.4,1482365
2014-09-17,578.4,585.9,577.2,583.2,1695637
2014-09-18,585.4,587.9,583.4,587.7,1445971
2014-09-19,589.9,594.8,587.9,594.5,3737278
2014-09-22,592.2,592.3,581.9,585.8,1692344
2014-09-23,585.2,585.2,579.4,579.5,1471733
2014-09-24,579.9,588.0,578.9,586.4,1729272
2014-09-25,585.9,586.4,572.6,573.5,1930636
2014-09-26,574.5,577.7,573.1,575.5,1443760
2014-09-29,570.2,576.6,569.6,574.8,1284722
2014-09-30,575.3,578.3,571.3,575.8,1622880
2014-10-01,574.4,576.0,565.5,566.7,1448994
2014-10-02,565.8,570.3,561.8,568.5,1178534
2014-10-03,571.5,575.6,570.9,573.7,1141762
2014-10-06,577.2,579.4,572.9,575.8,1214646
2014-10-07,572.8,573.7,562.2,562.2,1911661
2014-10-08,564.0,572.3,556.0,570.9,1993346
2014-10-09,569.6,569.9,557.5,559.3,2526611
2014-10-10,556.2,563.6,542.6,543.0,3087086
2014-10-13,543.5,548.0,531.6,531.8,2585756
2014-10-14,537.4,545.7,531.7,536.5,2223317
2014-10-15,529.6,531.3,516.9,528.6,3722729
2014-10-16,517.6,528.0,513.6,523.1,3708577
2014-10-17,525.8,529.5,507.1,509.8,5545859
2014-10-20,508.1,520.3,506.7,519.4,2612658
2014-10-21,523.8,525.3,517.7,525.1,2338935
2014-10-22,528.4,538.3,527.3,531.3,2925192
2014-10-23,537.8,545.7,534.4,542.5,2351735
2014-10-24,542.9,543.4,534.3,538.3,1977461
2014-10-27,535.6,542.9,535.6,539.3,1188226
2014-10-28,541.5,547.5,540.1,547.4,1276868
2014-10-29,548.5,552.7,545.5,547.8,1771959
2014-10-30,547.5,551.3,542.0,548.8,1455653
2014-10-31,557.8,558.0,553.2,557.5,2038468
2014-11-03,554.0,556.4,551.7,553.7,1382296
2014-11-04,551.5,554.0,547.8,552.6,1244168
2014-11-05,555.3,555.3,542.6,544.4,2032304
2014-11-06,544.0,545.4,539.5,540.6,1333254
2014-11-07,544.7,544.7,537.2,539.5,1633732
2014-11-10,540.0,548.1,539.5,546.0,1134653
2014-11-11,547.0,550.4,544.8,548.8,967515
2014-11-12,548.9,549.0,543.7,545.8,1129687
2014-11-13,548.3,548.3,542.0,543.9,1339386
2014-11-14,545.2,545.2,540.7,542.9,1289522
2014-11-17,542.1,542.3,532.6,535.0,1726008
2014-11-18,536.0,540.5,532.7,533.6,1963039
2014-11-19,533.5,536.8,528.6,535.5,1392252
2014-11-20,529.8,533.6,529.6,533.4,1563412
2014-11-21,540.1,540.7,535.1,536.0,2224339
2014-11-24,536.2,541.2,534.2,537.8,1706354
2014-11-25,537.5,542.5,537.1,539.6,1789868
2014-11-26,539.4,540.1,535.6,538.9,1523675
2014-11-28,539.1,540.5,535.1,540.3,1148375
2014-12-01,537.4,539.9,530.4,532.3,2115391
2014-12-02,532.0,534.0,528.3,532.3,1526661
2014-12-03,530.0,534.5,527.8,529.9,1282800
2014-12-04,529.7,535.9,527.1,535.8,1396030
2014-12-05,529.5,531.4,522.8,523.8,2565674
2014-12-08,525.7,529.5,522.4,525.5,2333516
2014-12-09,520.7,532.7,519.1,531.9,1876406
2014-12-10,531.6,534.9,524.1,524.6,1721549
2014-12-11,526.3,532.5,525.7,526.9,1615387
2014-12-12,522.1,527.0,517.2,517.2,1994578
2014-12-15,521.3,521.7,511.9,512.4,2820509
2014-12-16,510.2,511.6,487.7,494.0,3964225
2014-12-17,495.6,505.6,495.5,503.5,2883175
2014-12-18,511.5,512.5,503.3,509.7,2926743
2014-12-19,510.1,516.3,505.5,514.9,3690252
2014-12-22,514.7,525.0,514.7,523.4,2731077
2014-12-23,525.6,533.1,524.8,529.1,2197584
2014-12-24,529.1,530.3,525.6,527.3,705968
2014-12-26,527.3,532.8,525.9,532.6,1040576
2014-12-29,530.7,534.0,528.6,528.9,2282353
2014-12-30,526.6,529.7,525.7,529.0,876322
2014-12-31,529.8,531.1,524.4,525.0,1375585
2015-01-02,527.6,529.8,522.7,523.4,1450634
2015-01-05,521.8,522.9,511.7,512.5,2059878
2015-01-06,513.6,514.8,499.7,500.6,2899890
2015-01-07,505.6,505.9,498.3,499.7,2065020
2015-01-08,496.6,502.1,489.7,501.3,3353577
2015-01-09,503.4,503.5,493.4,494.8,2071386
2015-01-12,493.6,494.6,486.2,491.2,2326817
